Bin Start,Accumulated Count
11.529266729465824ms,998944
11.542844287191269ms,998944
11.556421844916715ms,998944
11.56999940264216ms,998944
11.583576960367605ms,998944
11.597154518093049ms,998944
11.610732075818495ms,998944
11.624309633543941ms,998944
11.637887191269385ms,998944
11.651464748994831ms,998944
11.665042306720277ms,998944
11.678619864445722ms,998944
11.692197422171166ms,998944
11.705774979896612ms,998944
11.719352537622058ms,998944
11.732930095347502ms,998944
11.746507653072946ms,998944
11.760085210798392ms,998944
11.773662768523838ms,998944
11.787240326249282ms,998944
11.800817883974727ms,998944
11.814395441700173ms,998944
11.827972999425619ms,998944
11.841550557151063ms,998944
11.855128114876507ms,998944
11.868705672601953ms,998944
11.882283230327399ms,998944
11.895860788052843ms,998944
11.909438345778288ms,998944
11.923015903503734ms,998944
11.93659346122918ms,998944
11.950171018954624ms,998944
11.96374857668007ms,998945
11.977326134405516ms,998945
11.99090369213096ms,998945
12.004481249856404ms,998945
12.01805880758185ms,998945
12.031636365307296ms,998945
12.04521392303274ms,998945
12.058791480758185ms,998945
12.07236903848363ms,998945
12.085946596209077ms,998945
12.09952415393452ms,998945
12.113101711659965ms,998945
12.126679269385411ms,998946
12.140256827110857ms,998946
12.153834384836301ms,998947
12.167411942561746ms,998947
12.180989500287192ms,998947
12.194567058012638ms,998947
12.208144615738082ms,998947
12.221722173463526ms,998947
12.235299731188974ms,998947
12.248877288914418ms,998947
12.262454846639862ms,998947
12.276032404365306ms,998947
12.289609962090754ms,998947
12.303187519816198ms,998947
12.316765077541643ms,998947
12.330342635267087ms,998947
12.343920192992535ms,998947
12.357497750717979ms,998947
12.371075308443423ms,998947
12.384652866168867ms,998947
12.398230423894315ms,998947
12.41180798161976ms,998947
12.425385539345204ms,998948
12.438963097070648ms,998949
12.452540654796096ms,998949
12.46611821252154ms,998949
12.479695770246984ms,998949
12.493273327972432ms,998949
12.506850885697876ms,998950
12.52042844342332ms,998950
12.534006001148764ms,998951
12.547583558874212ms,998951
12.561161116599656ms,998951
12.5747386743251ms,998951
12.588316232050545ms,998951
12.601893789775993ms,998951
12.615471347501437ms,998951
12.629048905226881ms,998952
12.642626462952325ms,998952
12.656204020677773ms,998952
12.669781578403217ms,998952
12.683359136128662ms,998952
12.696936693854106ms,998952
12.710514251579554ms,998953
12.724091809304998ms,998953
12.737669367030442ms,998953
12.751246924755886ms,998953
12.764824482481334ms,998953
12.778402040206778ms,998953
12.791979597932222ms,998953
12.80555715565767ms,998954
12.819134713383114ms,998954
12.832712271108559ms,998955
12.846289828834003ms,998955
12.85986738655945ms,998955
12.873444944284895ms,998955
12.887022502010339ms,998956
12.900600059735783ms,998957
12.914177617461231ms,998958
12.927755175186675ms,998958
12.94133273291212ms,998959
12.954910290637564ms,998960
12.968487848363011ms,998960
12.982065406088456ms,998960
12.9956429638139ms,998960
13.009220521539344ms,998960
13.022798079264792ms,998960
13.036375636990236ms,998960
13.04995319471568ms,998961
13.063530752441125ms,998961
13.077108310166572ms,998961
13.090685867892017ms,998962
13.10426342561746ms,998963
13.117840983342905ms,998963
13.131418541068353ms,998963
13.144996098793797ms,998963
13.158573656519241ms,998963
13.172151214244689ms,998963
13.185728771970133ms,998964
13.199306329695577ms,998964
13.212883887421022ms,998964
13.22646144514647ms,998964
13.240039002871914ms,998964
13.253616560597358ms,998964
13.267194118322802ms,998964
13.28077167604825ms,998964
13.294349233773694ms,998964
13.307926791499138ms,998964
13.321504349224583ms,998964
13.33508190695003ms,998965
13.348659464675475ms,998966
13.362237022400919ms,998967
13.375814580126363ms,998967
13.38939213785181ms,998968
13.402969695577255ms,998968
13.4165472533027ms,998968
13.430124811028143ms,998968
13.443702368753591ms,998968
13.457279926479035ms,998968
13.47085748420448ms,998969
13.484435041929927ms,998969
13.498012599655372ms,998969
13.511590157380816ms,998970
13.52516771510626ms,998971
13.538745272831708ms,998971
13.552322830557152ms,998971
13.565900388282596ms,998971
13.57947794600804ms,998971
13.593055503733488ms,998971
13.606633061458933ms,998971
13.620210619184377ms,998971
13.633788176909821ms,998971
13.647365734635269ms,998971
13.660943292360713ms,998971
13.674520850086157ms,998971
13.688098407811601ms,998972
13.70167596553705ms,998972
13.715253523262493ms,998972
13.728831080987938ms,998972
13.742408638713382ms,998972
13.75598619643883ms,998972
13.769563754164274ms,998972
13.783141311889718ms,998973
13.796718869615166ms,998973
13.81029642734061ms,998973
13.823873985066054ms,998973
13.837451542791499ms,998973
13.851029100516946ms,998973
13.86460665824239ms,998974
13.878184215967835ms,998974
13.891761773693279ms,998974
13.905339331418727ms,998974
13.918916889144171ms,998974
13.932494446869615ms,998974
13.94607200459506ms,998974
13.959649562320507ms,998974
13.973227120045951ms,998974
13.986804677771396ms,998974
14.00038223549684ms,998974
14.013959793222288ms,998974
14.027537350947732ms,998975
14.041114908673176ms,998975
14.05469246639862ms,998975
14.068270024124068ms,998975
14.081847581849512ms,998975
14.095425139574957ms,998975
14.1090026973004ms,998975
14.122580255025849ms,998975
14.136157812751293ms,998975
14.149735370476737ms,998975
14.163312928202185ms,998975
14.176890485927629ms,998975
14.190468043653073ms,998976
14.204045601378517ms,998976
14.217623159103965ms,998976
14.23120071682941ms,998977
14.244778274554854ms,998977
14.258355832280298ms,998977
14.271933390005746ms,998977
14.28551094773119ms,998977
14.299088505456634ms,998977
14.312666063182078ms,998977
14.326243620907526ms,998977
14.33982117863297ms,998977
14.353398736358415ms,998977
14.366976294083859ms,998977
14.380553851809307ms,998977
14.39413140953475ms,998977
14.407708967260195ms,998977
14.42128652498564ms,998977
14.434864082711087ms,998977
14.448441640436531ms,998977
